 125  34  56 120 100 
 126  36  52 100 132 
 127  38  48 108 140 
 128  30  60  96 148 
 129  30 108  80 124 
 130  28  60  84 180 
 131  26  76  80 164 
 132  26  64 102 132 
 133  24  72  90 188 
 134  22  72 112 148 
 135  24  64 120 148 
 136  24  88  86 172 
 137  24  76 108 140 
 138  50  56  82 140 
 139  58  48 130 108 
 140  54  44 118 116 
 141  50  48 144 108 
 142  50  56 104  92 
 143  54  56  98 108 
 144  56  56  92 116 
 145  44  72 118  76 
 146  52  36 116 156 
 147  48  48 128 116 
 148  56  48  88 172 
 149  52  48  98 156 
 150  48  56  76 156 
 151  36 128  60 116 
 152  34 116  74 116 
 153  44 120  48 108 
 154  40  96  50 132 
 155  36  92  68 108 
 156  36  76  64 124 
 157  42 108  62 108 
 158  34  80  82 108 
 159  30  92  64 164 
 160  42  56 106  92 
 161  42  92  62 116 
 162  40  76  80  92 
 163  42  68  88  92 
 164  38 116  78  92 
 165  34  92  80 116 
 166  30  88  98  92 
 167  30  72  94 108 
 168  36 104  92  92 
 169  28  76 112  92 
 170  42  84 114  76 
 171  28 116  88 108 
 172  26 100 106  84 
 173  28 120  96 100 
 174  28  92 114  84 
 175  24 116 102 100 
 176  30 112  90 108 
 177  24  84  88 148 
 178  22  84 110 108 
 179  24  88  96 140 
 180  24  76 118 108 
 181  22 100 104 132 
 182  36  60 118 108 
 183  32  72  78 156 
 184  26  84  72 196 
 185  34 128  54 132 
 186  32 124  58 140 
 187  32 116  68 132 
 188  30 112  72 140 
 189  42 120  42 124 
 190  38  96  44 148 
 191  34  92  62 124 
 192  34  76  58 140 
 193  34 108  56 148 
 194  40 108  56 124 
 195  32  92  54 156 
 196  32  80  76 124 
 197  30  96  54 172 
 198  28  92  58 180 
 199  28  80  78 172 
 200  24  88  84 196 
 201  22  88 106 156 
 202  32 100  74 140 
 203  32  84  70 156 
 204  46  48 130 116 
 205  50  36 134 156 
